swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,caller,utterance_index,subutterance_index,text,pos,trees,ptb_treenumbers
sw12utt/sw_1208_2724.utt,2/sw2724,2724,0,qw,B,1,1,"{F Uh, } {D so } what do you do to exercise? /","Uh/UH ,/, so/RB what/WP do/VBP you/PRP do/VB to/TO exercise/VB ?/.","(SBARQ (INTJ (UH Uh)) (, ,) (INTJ (UH so)) (WHNP-2 (WP what)) (SQ (VBP do) (NP-SBJ-1 (PRP you)) (VP (VB do) (NP (-NONE- *T*-2)) (S-PRP (NP-SBJ (-NONE- *-1)) (VP (TO to) (VP (VB exercise)))))) (. ?) (-DFL- E_S))",1
sw12utt/sw_1208_2724.utt,2/sw2724,2724,1,%,A,2,1,"{F Uh, } s-, - /","Uh/UH ,/, s-/XX ,/,","(S-UNF (INTJ (UH Uh)) (, ,) (X (XX s-)) (, ,) (-DFL- N_S))",3
sw12utt/sw_1208_2724.utt,2/sw2724,2724,2,sd,A,2,2,"I, {F uh, } weight train, {F uh, } three days on and one day off. /","I/PRP ,/, uh/UH ,/, weight/NN train/VBP ,/, uh/UH ,/, three/CD days/NNS on/RB and/CC one/CD day/NN off/RB ./.","(S (NP-SBJ (PRP I)) (, ,) (INTJ (UH uh)) (, ,) (VP (NN weight) (VBP train) (, ,) (INTJ (UH uh)) (, ,) (NP-TMP (NP (NP (CD three) (NNS days)) (ADVP (RB on))) (CC and) (NP (NP (CD one) (NN day)) (ADVP (RB off))))) (. .) (-DFL- E_S))",4
sw12utt/sw_1208_2724.utt,2/sw2724,2724,3,bk,B,3,1,Uh-huh. /,Uh-huh/UH ./.,(INTJ (UH Uh-huh) (. .) (-DFL- E_S)),6
sw12utt/sw_1208_2724.utt,2/sw2724,2724,4,sd,A,4,1,"I, {F uh, } ride bicycles, <breathing>, {F uh, } fifteen, twenty miles, I don't know, maybe three times, maybe four times a week.  /","I/PRP ,/, uh/UH ,/, ride/VBP bicycles/NNS ,/, ,/, uh/UH ,/, fifteen/CD ,/, twenty/CD miles/NNS ,/, I/PRP do/VBP n't/RB know/VB ,/, maybe/RB three/CD times/NNS ,/, maybe/RB four/CD times/NNS a/DT week/NN ./.","(S (NP-SBJ (PRP I)) (, ,) (INTJ (UH uh)) (, ,) (VP (VBP ride) (NP (NNS bicycles)) (, ,) (, ,) (INTJ (UH uh)) (, ,) (NP-EXT (CD fifteen) (, ,) (CD twenty) (NNS miles)) (PRN (, ,) (S (NP-SBJ (PRP I)) (VP (VBP do) (RB n't) (VP (VB know)))) (, ,)) (NP-TMP (NP (NP (QP (RB maybe) (CD three)) (NNS times)) (, ,) (NP (QP (RB maybe) (CD four)) (NNS times))) (NP-ADV (DT a) (NN week)))) (. .) (-DFL- E_S))",8
sw12utt/sw_1208_2724.utt,2/sw2724,2724,5,sd,A,4,2,"I play basketball, {F uh, } couple times a week.  /","I/PRP play/VBP basketball/NN ,/, uh/UH ,/, couple/NN times/NNS a/DT week/NN ./.","(S (NP-SBJ (PRP I)) (VP (VBP play) (NP (NN basketball)) (, ,) (INTJ (UH uh)) (, ,) (NP-TMP (NP (NN couple) (NNS times)) (NP-ADV (DT a) (NN week)))) (. .) (-DFL- E_S))",9
sw12utt/sw_1208_2724.utt,2/sw2724,2724,6,sd,A,4,3,I play softball one night a week.   /,I/PRP play/VBP softball/NN one/CD night/NN a/DT week/NN ./.,(S (NP-SBJ (PRP I)) (VP (VBP play) (NP (NN softball)) (NP-TMP (NP (CD one) (NN night)) (NP-ADV (DT a) (NN week)))) (. .) (-DFL- E_S)),10
sw12utt/sw_1208_2724.utt,2/sw2724,2724,7,sd,A,4,4,"{F Uh, } that's what I do. /","Uh/UH ,/, that/DT 's/BES what/WP I/PRP do/VBP ./.","(S (INTJ (UH Uh)) (, ,) (NP-SBJ (DT that)) (VP (BES 's) (SBAR-NOM-PRD (WHNP-1 (WP what)) (S (NP-SBJ (PRP I)) (VP (VBP do) (NP (-NONE- *T*-1)))))) (. .) (-DFL- E_S))",11
sw12utt/sw_1208_2724.utt,2/sw2724,2724,8,%,B,5,1,{F Um. } /,Um/UH ./.,(INTJ (UH Um) (. .) (-DFL- E_S)),13
sw12utt/sw_1208_2724.utt,2/sw2724,2724,9,qo,A,6,1,What about yourself? /,What/WP about/IN yourself/PRP ?/.,(FRAG (WHNP (WP What)) (PP (IN about) (NP (PRP yourself))) (. ?) (-DFL- E_S)),15
sw12utt/sw_1208_2724.utt,2/sw2724,2724,10,sv,B,7,1,That's pretty impressive.   /,That/DT 's/BES pretty/RB impressive/JJ ./.,(S (NP-SBJ (DT That)) (VP (BES 's) (ADJP-PRD (RB pretty) (JJ impressive))) (. .) (-DFL- E_S)),17
sw12utt/sw_1208_2724.utt,2/sw2724,2724,11,sd,B,7,2,"{F Uh, } I guess I bicycle.  /","Uh/UH ,/, I/PRP guess/VBP I/PRP bicycle/VBP ./.","(S (INTJ (UH Uh)) (, ,) (NP-SBJ (PRP I)) (VP (VBP guess) (SBAR (-NONE- 0) (S (NP-SBJ (PRP I)) (VP (VBP bicycle))))) (. .) (-DFL- E_S))",18
sw12utt/sw_1208_2724.utt,2/sw2724,2724,12,sd,B,7,3,"{F Uh, } the amount varies  /","Uh/UH ,/, the/DT amount/NN varies/VBZ","(S (INTJ (UH Uh)) (, ,) (NP-SBJ (DT the) (NN amount)) (VP (VBZ varies)) (-DFL- E_S))",19
sw12utt/sw_1208_2724.utt,2/sw2724,2724,13,sd,B,7,4,as much as a hundred  and fifty miles a week. /,as/RB much/JJ as/IN a/DT hundred/CD and/CC fifty/CD miles/NNS a/DT week/NN ./.,(ADJP (ADJP (RB as) (JJ much)) (PP (IN as) (NP (NP (QP (DT a) (CD hundred) (CC and) (CD fifty)) (NNS miles)) (NP-ADV (DT a) (NN week)))) (. .) (-DFL- E_S)),20
sw12utt/sw_1208_2724.utt,2/sw2724,2724,14,bk,A,8,1,Uh-huh. /,Uh-huh/UH ./.,(INTJ (UH Uh-huh) (. .) (-DFL- E_S)),6
sw12utt/sw_1208_2724.utt,2/sw2724,2724,15,sd,B,9,1,"{F Uh, } I guess a play softball one night a week.   /","Uh/UH ,/, I/PRP guess/VBP a/^PRP play/VBP softball/NN one/CD night/NN a/DT week/NN ./.","(S (INTJ (UH Uh)) (, ,) (NP-SBJ (PRP I)) (VP (VBP guess) (SBAR (-NONE- 0) (S (NP-SBJ (TYPO (^PRP a))) (VP (VBP play) (NP (NN softball)) (NP-TMP (NP (CD one) (NN night)) (NP-ADV (DT a) (NN week))))))) (. .) (-DFL- E_S))",24
sw12utt/sw_1208_2724.utt,2/sw2724,2724,16,sd,B,9,2,{C And } I backpack a lot over the summer. /,And/CC I/PRP backpack/VBP a/DT lot/NN over/IN the/DT summer/NN ./.,(S (CC And) (NP-SBJ (PRP I)) (VP (VBP backpack) (NP-ADV (DT a) (NN lot)) (PP-TMP (IN over) (NP (DT the) (NN summer)))) (. .) (-DFL- E_S)),25
sw12utt/sw_1208_2724.utt,2/sw2724,2724,17,bh,A,10,1,"{F Oh, } really? /","Oh/UH ,/, really/UH ?/.","(INTJ (INTJ (UH Oh)) (, ,) (INTJ (UH really)) (. ?) (-DFL- E_S))",27
sw12utt/sw_1208_2724.utt,2/sw2724,2724,18,ny,B,11,1,"Yeah,  /","Yeah/UH ,/,","(INTJ (UH Yeah) (, ,) (-DFL- E_S))",29
