swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,caller,utterance_index,subutterance_index,text,pos,trees,ptb_treenumbers
sw10utt/sw_1067_2689.utt,2/sw2689,2689,0,o,A,1,1,Okay. /,Okay/UH ./.,,
sw10utt/sw_1067_2689.utt,2/sw2689,2689,1,o,B,2,1,Okay.  /,Okay/UH ./.,,
sw10utt/sw_1067_2689.utt,2/sw2689,2689,2,qw,B,2,2,What can we do about crime?  /,What/WP can/MD we/PRP do/VB about/IN crime/NN ?/.,,
sw10utt/sw_1067_2689.utt,2/sw2689,2689,3,h,B,2,3,I don't know.  /,I/PRP do/VBP n't/RB know/VB ./.,,
sw10utt/sw_1067_2689.utt,2/sw2689,2689,4,sd,B,2,4,"The one thing that keeps coming to mind to me is that [ they're, + <child> they ] don't have enough space in the prisons to put people  /","The/DT one/CD thing/NN that/WDT keeps/VBZ coming/VBG to/IN mind/NN to/IN me/PRP is/VBZ that/IN they/PRP 're/VBP ,/, they/PRP do/VBP n't/RB have/VB enough/JJ space/NN in/IN the/DT prisons/NNS to/TO put/VB people/NNS",,
sw10utt/sw_1067_2689.utt,2/sw2689,2689,5,sv,B,2,5,"{C and } they keep letting out people that have, {D you know, } these horrible records. /","and/CC they/PRP keep/VBP letting/VBG out/RP people/NNS that/WDT have/VBP ,/, you/PRP know/VBP ,/, these/DT horrible/JJ records/NNS ./.",,
sw10utt/sw_1067_2689.utt,2/sw2689,2689,6,b,A,3,1,Uh-huh. /,Uh-huh/UH ./.,,
sw10utt/sw_1067_2689.utt,2/sw2689,2689,7,sv,B,4,1,{C So } maybe we need to have more prisons or use the old army bases and make them into prisons or something.  /,So/RB maybe/RB we/PRP need/VBP to/TO have/VB more/JJR prisons/NNS or/CC use/VB the/DT old/JJ army/NN bases/NNS and/CC make/VB them/PRP into/IN prisons/NNS or/CC something/NN ./.,,
sw10utt/sw_1067_2689.utt,2/sw2689,2689,8,sv,B,4,2,That's one thing I guess I could think of </child>. /,That/DT 's/BES one/CD thing/NN I/PRP guess/VBP I/PRP could/MD think/VB of/IN ./.,,
sw10utt/sw_1067_2689.utt,2/sw2689,2689,9,b,A,5,1,Uh-huh. /,Uh-huh/UH ./.,,
sw10utt/sw_1067_2689.utt,2/sw2689,2689,10,sv,B,6,1,"{F Uh, } it's definitely a big concern, /","Uh/UH ,/, it/PRP 's/BES definitely/RB a/DT big/JJ concern/NN ,/,",,
sw10utt/sw_1067_2689.utt,2/sw2689,2689,11,x,A,7,1,<Throat_clearing>.,,,
sw10utt/sw_1067_2689.utt,2/sw2689,2689,12,%,B,8,1,"{E I mean } every day it's, {D you know, } all ar-, - /","I/PRP mean/VBP every/DT day/NN it/PRP 's/BES ,/, you/PRP know/VBP ,/, all/DT ar-/XX ,/,",,
sw10utt/sw_1067_2689.utt,2/sw2689,2689,13,sd,B,8,2,"we live in a little small town,  /","we/PRP live/VBP in/IN a/DT little/JJ small/JJ town/NN ,/,",,
sw10utt/sw_1067_2689.utt,2/sw2689,2689,14,sd,B,8,3,{C and } there's just rapes and murders and burglaries and everything all the time.  /,and/CC there/EX 's/BES just/RB rapes/NNS and/CC murders/NNS and/CC burglaries/NNS and/CC everything/NN all/PDT the/DT time/NN ./.,,
sw10utt/sw_1067_2689.utt,2/sw2689,2689,15,sd,B,8,4,{C And } you just can't get away from it no matter where you live. /,And/CC you/PRP just/RB ca/MD n't/RB get/VB away/RB from/IN it/PRP no/DT matter/NN where/WRB you/PRP live/VBP ./.,,
sw10utt/sw_1067_2689.utt,2/sw2689,2689,16,b,A,9,1,Yeah.  /,Yeah/UH ./.,,
sw10utt/sw_1067_2689.utt,2/sw2689,2689,17,%,A,9,2,"{D Well } I, -/","Well/UH I/PRP ,/,",,
sw10utt/sw_1067_2689.utt,2/sw2689,2689,18,sv,B,10,1,{C So } it's pretty scary. /,So/RB it/PRP 's/BES pretty/RB scary/JJ ./.,,
sw10utt/sw_1067_2689.utt,2/sw2689,2689,19,sd,A,11,1,"[ I'm, + I'm ] from Butler,  /","I/PRP 'm/VBP ,/, I/PRP 'm/VBP from/IN Butler/NNP ,/,",,
sw10utt/sw_1067_2689.utt,2/sw2689,2689,20,sd,A,11,2,{C and } I can't say that there's too much of that there. /,and/CC I/PRP ca/MD n't/RB say/VB that/IN there/EX 's/BES too/RB much/JJ of/IN that/DT there/RB ./.,,
sw10utt/sw_1067_2689.utt,2/sw2689,2689,21,b,B,12,1,Uh-huh. /,Uh-huh/UH ./.,,
sw10utt/sw_1067_2689.utt,2/sw2689,2689,22,sd,A,13,1,"{F Um, } I know the bigger cities have problems with it. /","Um/UH ,/, I/PRP know/VBP the/DT bigger/JJR cities/NNS have/VBP problems/NNS with/IN it/PRP ./.",,
sw10utt/sw_1067_2689.utt,2/sw2689,2689,23,b,B,14,1,Yeah. /,Yeah/UH ./.,,
sw10utt/sw_1067_2689.utt,2/sw2689,2689,24,h,A,15,1,"{F Uh, } I really don't know what we can do about it. /","Uh/UH ,/, I/PRP really/RB do/VBP n't/RB know/VB what/WP we/PRP can/MD do/VB about/IN it/PRP ./.",,
sw10utt/sw_1067_2689.utt,2/sw2689,2689,25,b,B,16,1,Yeah. /,Yeah/UH ./.,,
sw10utt/sw_1067_2689.utt,2/sw2689,2689,26,sv,A,17,1,Unless  --,Unless/IN --/:,,
sw10utt/sw_1067_2689.utt,2/sw2689,2689,27,sv,B,18,1,"It's rough, because <noise>, -/","It/PRP 's/BES rough/JJ ,/, because/IN ,/,",,
sw10utt/sw_1067_2689.utt,2/sw2689,2689,28,+,A,19,1,"-- they start enforcing the, {F uh, } - /","--/: they/PRP start/VBP enforcing/VBG the/DT ,/, uh/UH ,/,",,
sw10utt/sw_1067_2689.utt,2/sw2689,2689,29,sv,A,19,2,"<<sounds like: t, t, t, t, t>> {F uh, } start giving more people death sentences.  /","uh/UH ,/, start/VBP giving/VBG more/JJR people/NNS death/NN sentences/NNS ./.",,
sw10utt/sw_1067_2689.utt,2/sw2689,2689,30,sv,A,19,3,That's the only thing <laughter> I can think of. /,That/DT 's/BES the/DT only/JJ thing/NN I/PRP can/MD think/VB of/IN ./.,,
sw10utt/sw_1067_2689.utt,2/sw2689,2689,31,b,B,20,1,Yeah.  /,Yeah/UH ./.,,
sw10utt/sw_1067_2689.utt,2/sw2689,2689,32,b^r,B,20,2,"Yeah,  /","Yeah/UH ,/,",,
sw10utt/sw_1067_2689.utt,2/sw2689,2689,33,sv,B,20,3,{D well } even some of the sentences just seem ridiculous.  /,well/UH even/RB some/DT of/IN the/DT sentences/NNS just/RB seem/VBP ridiculous/JJ ./.,,
sw10utt/sw_1067_2689.utt,2/sw2689,2689,34,sv,B,20,4,"{E I mean } you hear about people, {D you know, } six and seven times have committed burglaries  /","I/PRP mean/VBP you/PRP hear/VBP about/IN people/NNS ,/, you/PRP know/VBP ,/, six/CD and/CC seven/CD times/NNS have/VBP committed/VBN burglaries/NNS",,
sw10utt/sw_1067_2689.utt,2/sw2689,2689,35,sv,B,20,5,"{C and } they're still, {D you know, } only serving six months in prison.  /","and/CC they/PRP 're/VBP still/RB ,/, you/PRP know/VBP ,/, only/RB serving/VBG six/CD months/NNS in/IN prison/NN ./.",,
sw10utt/sw_1067_2689.utt,2/sw2689,2689,36,sv,B,20,6,{C So } that's definitely something.  /,So/RB that/DT 's/BES definitely/RB something/NN ./.,,
sw10utt/sw_1067_2689.utt,2/sw2689,2689,37,sv,B,20,7,"They could have a more automatic sentence instead of having the judge having the choice of like, {D you know, } from one month to ten years or something <child>. /","They/PRP could/MD have/VB a/DT more/RBR automatic/JJ sentence/NN instead/IN of/IN having/VBG the/DT judge/NN having/VBG the/DT choice/NN of/IN like/IN ,/, you/PRP know/VBP ,/, from/IN one/CD month/NN to/IN ten/CD years/NNS or/CC something/NN ./.",,
sw10utt/sw_1067_2689.utt,2/sw2689,2689,38,b,A,21,1,Uh-huh. /,Uh-huh/UH ./.,,
