swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,caller,utterance_index,subutterance_index,text,pos,trees,ptb_treenumbers
sw10utt/sw_1020_2935.utt,2/sw2935,2935,0,qw,A,1,1,"{D Well, } what kind of garden do you have? /","Well/UH ,/, what/WDT kind/NN of/IN garden/NN do/VBP you/PRP have/VB ?/.",,
sw10utt/sw_1020_2935.utt,2/sw2935,2935,1,sd,B,2,1,"{D Well, } we've tried having, - /","Well/UH ,/, we/PRP 've/VBP tried/VBN having/VBG ,/,",,
sw10utt/sw_1020_2935.utt,2/sw2935,2935,2,^h,B,2,2,"let me turn the T V off,  /","let/VB me/PRP turn/VB the/DT T/NN V/NN off/RP ,/,",,
sw10utt/sw_1020_2935.utt,2/sw2935,2935,3,sd,B,2,3,"we've tried having a vegetable garden,  /","we/PRP 've/VBP tried/VBN having/VBG a/DT vegetable/NN garden/NN ,/,",,
sw10utt/sw_1020_2935.utt,2/sw2935,2935,4,sd,B,2,4,"{C and } I'm from Chicago,  /","and/CC I/PRP 'm/VBP from/IN Chicago/NNP ,/,",,
sw10utt/sw_1020_2935.utt,2/sw2935,2935,5,sd,B,2,5,"{C and } the way that, {F uh, } bugs and weeds grow down here is very different <laughter> from Chicago.","and/CC the/DT way/NN that/IN ,/, uh/UH ,/, bugs/NNS and/CC weeds/NNS grow/VBP down/IN here/RB is/VBZ very/RB different/JJ from/IN Chicago/NNP ./.",,
sw10utt/sw_1020_2935.utt,2/sw2935,2935,6,x,A,3,1,<Laughter>.,,,
sw10utt/sw_1020_2935.utt,2/sw2935,2935,7,+,B,4,1,/,And/CC,,
sw10utt/sw_1020_2935.utt,2/sw2935,2935,8,sd,B,4,2,"{C And } we have tried several years in a row,  /","we/PRP have/VBP tried/VBN several/JJ years/NNS in/IN a/DT row/NN ,/, and/CC",,
sw10utt/sw_1020_2935.utt,2/sw2935,2935,9,sd,B,4,3,"{C and } we've given up, between the fire ants, the pill bugs, the weeds, the drought, and a hundred and ten degree heat all Summer,  /","we/PRP 've/VBP given/VBN up/RP ,/, between/IN the/DT fire/NN ants/NNS ,/, the/DT pill/NN bugs/NNS ,/, the/DT weeds/NNS ,/, the/DT drought/NN ,/, and/CC a/DT hundred/CD and/CC ten/CD degree/NN heat/NN all/DT Summer/NN ,/, and/CC",,
sw10utt/sw_1020_2935.utt,2/sw2935,2935,10,sd,B,4,4,"{C and } we just kind of, {F uh, } decided to go with a few flowers and  give up on the vegetable garden <laughter>. /","we/PRP just/RB kind/RB of/RB ,/, uh/UH ,/, decided/VBD to/TO go/VB with/IN a/DT few/JJ flowers/NNS and/CC give/VB up/RP on/IN the/DT vegetable/NN garden/NN ./.",,
sw10utt/sw_1020_2935.utt,2/sw2935,2935,11,b,A,5,1,Oh. /,Oh/UH ./.,,
sw10utt/sw_1020_2935.utt,2/sw2935,2935,12,sd,B,6,1,"We had to put so much poison out on everything that we thought, Who'd want to eat that stuff. /","We/PRP had/VBD to/TO put/VB so/RB much/JJ poison/NN out/IN on/IN everything/NN that/IN we/PRP thought/VBD ,/, Who/WP 'd/MD want/VB to/TO eat/VB that/DT stuff/NN ./.",,
sw10utt/sw_1020_2935.utt,2/sw2935,2935,13,b,A,7,1,"Uh-huh,  /","Uh-huh/UH ,/,",,
sw10utt/sw_1020_2935.utt,2/sw2935,2935,14,b^r,A,7,2,uh-huh. /,uh-huh/UH ./.,,
sw10utt/sw_1020_2935.utt,2/sw2935,2935,15,sd,B,8,1,"{D You know, } {C so } we have really been frustrated by our gardening attempts here,  /","You/PRP know/VBP ,/, so/RB we/PRP have/VBP really/RB been/VBN frustrated/JJ by/IN our/PRP$ gardening/NN attempts/NNS here/RB ,/,",,
sw10utt/sw_1020_2935.utt,2/sw2935,2935,16,sd,B,8,2,"{C and, } {F uh, } if you really water a lot, you can do it,  /","and/CC ,/, uh/UH ,/, if/IN you/PRP really/RB water/VBP a/DT lot/NN ,/, you/PRP can/MD do/VB it/PRP ,/,",,
sw10utt/sw_1020_2935.utt,2/sw2935,2935,17,sd,B,8,3,"{C but, } {D you know, } when you have to pay for water, it really gets to be an annoyance to have to water constantly. /","but/CC ,/, you/PRP know/VBP ,/, when/WRB you/PRP have/VBP to/TO pay/VB for/IN water/NN ,/, it/PRP really/RB gets/VBZ to/TO be/VB an/DT annoyance/NN to/TO have/VB to/TO water/VB constantly/RB ./.",,
sw10utt/sw_1020_2935.utt,2/sw2935,2935,18,b,A,9,1,Uh-huh. /,Uh-huh/UH ./.,,
sw10utt/sw_1020_2935.utt,2/sw2935,2935,19,sd,B,10,1,"{C So, } right now we're just, -/","So/RB ,/, right/RB now/RB we/PRP 're/VBP just/RB ,/,",,
sw10utt/sw_1020_2935.utt,2/sw2935,2935,20,qy,A,11,1,Do you have a lawn? /,Do/VBP you/PRP have/VB a/DT lawn/NN ?/.,,
sw10utt/sw_1020_2935.utt,2/sw2935,2935,21,b,B,12,1,"Yeah,  /","Yeah/UH ,/,",,
sw10utt/sw_1020_2935.utt,2/sw2935,2935,22,sd,B,12,2,"[ we, + we  ] just try to maintain the <laughter> lawn and the shrubs right now, and the trees. /","we/PRP ,/, we/PRP just/RB try/VBP to/TO maintain/VB the/DT lawn/NN and/CC the/DT shrubs/NNS right/RB now/RB ,/, and/CC the/DT trees/NNS ./.",,
sw10utt/sw_1020_2935.utt,2/sw2935,2935,23,x,A,13,1,<Laughter>.,,,
sw10utt/sw_1020_2935.utt,2/sw2935,2935,24,sd,B,14,1,We have a peach tree.  /,We/PRP have/VBP a/DT peach/NN tree/NN ./.,,
